,car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,Date,year
241,Maruti ALTO K10,VXI,Manual,53883,1st Owner,Petrol,HR-26,366000.0,2024-04-11,2019-01-01
242,Toyota Etios Liva,G,Manual,77156,1st Owner,Petrol,DL-10,278000.0,2024-07-13,2013-01-01
243,Maruti Vitara Brezza,ZXI+ DUAL TONE,Manual,30331,1st Owner,Petrol,HR-26,921000.0,2024-01-25,2020-01-01
244,Maruti BALENO,ZETA CVT PETROL 1.2,Automatic,35131,2nd Owner,Petrol,UP-16,758000.0,2022-03-04,2020-01-01
245,Renault Duster,RXL PETROL 104,Manual,33494,1st Owner,Petrol,DL-8C,687000.0,2019-12-15,2017-01-01
246,Maruti Swift,VXI AMT,Automatic,91,1st Owner,Petrol,HR-26,777200.0,2018-03-22,2022-01-01
247,VOLKSWAGEN VENTO,COMFORTLINE DIESEL 1.5,Manual,32652,1st Owner,Diesel,UP-14,759000.0,2018-03-08,2019-01-01
248,Maruti Wagon R 1.0,VXI AMT,Automatic,24549,2nd Owner,Petrol,DL-5C,448000.0,2018-04-20,2018-01-01
249,Maruti RITZ,VXI ELATE LIMITED EDITION,Manual,52682,1st Owner,Petrol,DL-8C,316000.0,2023-10-14,2014-01-01
250,Maruti Vitara Brezza,ZXI,Manual,170,1st Owner,Petrol,HR-26,996000.0,2024-01-12,2021-01-01
251,Skoda Rapid,1.0 AMBITION TSI AT,Automatic,55243,1st Owner,Petrol,DL-10,932000.0,2025-01-04,2020-01-01
252,Jeep Compass,2.0 LIMITED,Manual,47136,1st Owner,Diesel,HR-26,1621000.0,2024-09-15,2019-01-01
253,Maruti Baleno,SIGMA PETROL 1.2,Manual,22354,1st Owner,Petrol,DL-12,603000.0,2023-09-25,2020-01-01
254,HYUNDAI ELITE I20,ASTA 1.2 (O),Manual,40106,1st Owner,Petrol,DL-7C,614000.0,2020-05-19,2016-01-01
255,Maruti WAGON R 1.0,VXI,Manual,48863,1st Owner,Petrol,HR-26,404000.0,2024-01-05,2018-01-01
256,Maruti SWIFT DZIRE,VXI,Manual,48669,1st Owner,Petrol,DL-3C,380000.0,2023-11-08,2013-01-01
257,Maruti VITARA BREZZA,ZDI PLUS,Manual,50465,1st Owner,Diesel,UP-14,770000.0,2021-10-11,2018-01-01
258,Maruti Baleno,DELTA 1.2 K12,Manual,39910,2nd Owner,Petrol,DL-7C,526000.0,2023-02-13,2018-01-01
259,Maruti Vitara Brezza,ZDI,Manual,31439,1st Owner,Diesel,DL-4C,880000.0,2021-02-24,2020-01-01
260,Maruti Dzire,ZXI AMT,Automatic,1570,1st Owner,Petrol,DL-12,924000.0,2020-12-18,2022-01-01
261,Maruti CELERIO,VXI,Manual,44893,1st Owner,Petrol,DL-1C,446000.0,2022-08-24,2019-01-01
262,Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,36974,1st Owner,Petrol,UP-14,488000.0,2024-01-03,2017-01-01
263,Maruti IGNIS,SIGMA 1.2,Manual,35874,2nd Owner,Petrol,DL-12,434000.0,2025-05-21,2018-01-01
264,Honda WR-V,1.2L I-VTEC S MT,Manual,27235,1st Owner,Petrol,HR-36,677000.0,2018-12-10,2018-01-01
265,Maruti Baleno,DELTA PETROL 1.2,Manual,33836,1st Owner,Petrol,DL-3C,615000.0,2023-01-24,2019-01-01
266,Honda City,V MT PETROL,Manual,35601,1st Owner,Petrol,UP-16,774000.0,2019-04-11,2017-01-01
267,Ford Ecosport,1.0 TREND+ (ECOBOOST),Manual,59612,1st Owner,Petrol,DL-10,632000.0,2022-09-15,2016-01-01
268,Honda City,S MT PETROL,Manual,63533,1st Owner,Petrol,HR-26,415000.0,2021-06-01,2012-01-01
269,FORD ECOSPORT,TITANIUM 1.5L PETROL,Manual,22270,1st Owner,Petrol,UP-16,793000.0,2018-03-30,2019-01-01
270,Maruti Celerio,ZXI AMT,Automatic,44995,2nd Owner,Petrol,DL-8C,399000.0,2022-01-16,2016-01-01
271,Toyota Corolla Altis,GL,Manual,100530,1st Owner,Petrol,DL-3C,799000.0,2024-06-14,2015-01-01
272,Maruti Celerio,VXI AMT,Automatic,63382,2nd Owner,Petrol,DL-5C,361000.0,2020-06-27,2015-01-01
273,Hyundai NEW SANTRO,SPORTZ AMT,Automatic,35686,1st Owner,Petrol,DL-10,551000.0,2023-05-25,2020-01-01
274,Maruti Celerio,VXI,Manual,25145,1st Owner,Petrol,HR-98,475000.0,2019-10-13,2021-01-01
275,Hyundai Creta,1.6 SX VTVT,Manual,12938,1st Owner,Petrol,DL-7C,1137000.0,2023-01-31,2019-01-01
276,TOYOTA COROLLA ALTIS,VL CVT PETROL,Automatic,51062,1st Owner,Petrol,DL-10,934000.0,2023-06-26,2015-01-01
277,Volkswagen POLO,GT TDI,Manual,85697,1st Owner,Diesel,UP-16,744000.0,2021-07-30,2019-01-01
278,Ford Ecosport,TREND 1.5L PETROL,Manual,73522,1st Owner,Petrol,UP-14,600000.0,2019-06-02,2017-01-01
279,Maruti Dzire,VXI,Manual,48730,1st Owner,Petrol,HR-26,552000.0,2018-01-31,2017-01-01
280,Hyundai i10,SPORTZ 1.2 AT,Automatic,22517,2nd Owner,Petrol,DL-3C,250000.0,2024-12-19,2011-01-01
281,Maruti DZIRE,VXI AMT,Automatic,49929,1st Owner,Petrol,DL-9C,625000.0,2023-06-03,2018-01-01
282,KIA SELTOS,HTK 1.5 PETROL,Manual,7221,1st Owner,Petrol,HR-26,1132000.0,2021-04-23,2019-01-01
283,Maruti Baleno,DELTA PETROL 1.2,Manual,17266,1st Owner,Petrol,HR-26,643000.0,2018-09-16,2019-01-01
284,Honda Jazz,1.2 V AT,Automatic,65103,1st Owner,Petrol,DL-5C,523000.0,2020-07-30,2015-01-01
285,Renault Kwid,1.0 RXT Opt AT,Automatic,13095,1st Owner,Petrol,DL-3C,472000.0,2021-06-03,2020-01-01
286,Maruti BALENO,DELTA PETROL 1.2,Manual,39745,1st Owner,Petrol,DL-12,562000.0,2018-11-29,2017-01-01
287,Maruti Baleno,DELTA PETROL 1.2,Manual,41373,1st Owner,Petrol,DL-2C,517000.0,2020-03-13,2016-01-01
288,Mahindra TUV 300 PLUS,P8,Manual,83004,1st Owner,Diesel,DL-8C,819000.0,2021-11-21,2018-01-01
289,HYUNDAI GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT,Manual,19713,1st Owner,Petrol,HR-26,577000.0,2024-04-13,2020-01-01
290,Honda Amaze,1.2 EMT I VTEC,Manual,27324,1st Owner,Petrol,DL-13,394000.0,2020-12-09,2014-01-01
291,Maruti Ciaz,ALPHA 1.4 VVT,Manual,98200,1st Owner,Petrol,DL-8C,653000.0,2021-09-02,2017-01-01
292,Honda City,V MT PETROL,Manual,33591,1st Owner,Petrol,DL-10,698000.0,2021-05-01,2016-01-01
293,KIA SELTOS,HTX 1.5 PETROL,Manual,9337,1st Owner,Petrol,HR-98,1496000.0,2024-08-08,2021-01-01
294,Tata Tiago,XZ+ CNG 1.2 RTN,Manual,30399,1st Owner,CNG,HR-26,757000.0,2023-02-18,2022-01-01
295,Maruti Baleno,ZETA PETROL 1.2,Manual,55153,1st Owner,Petrol,DL-2C,663000.0,2018-10-04,2019-01-01
296,Toyota YARIS,J CVT,Automatic,38184,1st Owner,Petrol,DL-10,903000.0,2024-02-21,2020-01-01
297,HYUNDAI ELITE I20,ASTA 1.2,Manual,51113,1st Owner,Petrol,UP-78,503000.0,2022-12-26,2014-01-01
298,Maruti New Wagon-R,1.0 LXI (O),Manual,38582,1st Owner,Petrol,HR-76,449000.0,2023-06-08,2019-01-01
299,Maruti CIAZ,ALPHA 1.5 SHVS PETROL,Manual,42142,2nd Owner,Petrol,HR-26,825000.0,2021-04-12,2018-01-01
300,Hyundai VENUE,1.4 CRDI MT SX,Manual,88117,1st Owner,Diesel,HR-29,845000.0,2021-05-12,2019-01-01
301,Maruti Baleno,DELTA PETROL 1.2,Manual,42192,1st Owner,Petrol,DL-9C,558000.0,2023-10-26,2017-01-01
302,Maruti CIAZ,DELTA 1.4 AT PETROL,Automatic,45176,1st Owner,Petrol,DL-9C,779000.0,2021-08-08,2017-01-01
303,KIA SONET,HTK+ 1.5D MT,Manual,27698,1st Owner,Diesel,UP-32,1034000.0,2023-04-04,2021-01-01
304,Maruti Celerio,VXI AMT,Automatic,65851,1st Owner,Petrol,DL-8C,394000.0,2024-04-19,2016-01-01
305,Tata NEXON,XZ+ OPT PETROL,Manual,22652,1st Owner,Petrol,HR-26,952000.0,2023-02-15,2020-01-01
306,Volkswagen Polo,HIGHLINE PLUS 1.5L DIESEL,Manual,36305,1st Owner,Diesel,HR-51,644000.0,2020-11-21,2018-01-01
307,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,27213,2nd Owner,Petrol,DL-1C,475000.0,2022-11-23,2018-01-01
308,Hyundai NEW SANTRO,SPORTZ CNG,Manual,66932,1st Owner,CNG,DL-8C,469000.0,2024-10-28,2018-01-01
309,Maruti BALENO,DELTA PETROL 1.2,Manual,23526,1st Owner,Petrol,DL-8C,563000.0,2021-04-18,2017-01-01
310,Honda City,V MT PETROL,Manual,67367,1st Owner,Petrol,DL-4C,636000.0,2023-12-12,2015-01-01
311,Hyundai Elite i20,SPORTZ 1.2,Manual,52575,1st Owner,Petrol,UP-16,631000.0,2019-07-07,2018-01-01
312,TOYOTA COROLLA ALTIS,G AT,Automatic,75836,1st Owner,Petrol,DL-10,1139000.0,2018-02-02,2017-01-01
313,Mahindra Thar,CRDE 4X4 BS IV,Manual,21244,1st Owner,Diesel,DL-10,882000.0,2024-01-20,2018-01-01
314,HYUNDAI ELITE I20,SPORTZ 1.2 (O),Manual,20466,1st Owner,Petrol,DL-1C,604000.0,2023-12-18,2015-01-01
315,Maruti Celerio,LXI,Manual,8977,1st Owner,Petrol,DL-8C,526000.0,2021-06-08,2022-01-01
316,Skoda Rapid,STYLE 1.0TSI MT,Manual,13030,1st Owner,Petrol,UP-78,1210000.0,2018-01-27,2021-01-01
317,Maruti IGNIS,ZETA 1.2,Manual,9558,1st Owner,Petrol,DL-5C,632000.0,2021-08-20,2021-01-01
318,Maruti Ciaz,ZXI,Manual,23364,1st Owner,Petrol,DL-5C,611000.0,2019-04-05,2015-01-01
319,Tata Safari,XZA PLUS GOLD,Automatic,20424,1st Owner,Diesel,UP-16,2186000.0,2022-06-27,2022-01-01
320,Maruti S Cross,SIGMA 1.5 SHVS,Manual,17916,1st Owner,Petrol,UP-85,880000.0,2019-06-11,2021-01-01
321,Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,22284,1st Owner,Petrol,DL-4C,558000.0,2023-12-28,2017-01-01
322,Tata Tiago,XZ 1.2 REVOTRON,Manual,38715,1st Owner,Petrol,UP-16,503000.0,2023-02-09,2019-01-01
323,HONDA AMAZE,1.2 SMT I VTEC,Manual,70134,1st Owner,Petrol,DL-4C,367000.0,2022-07-01,2014-01-01
324,Hyundai i20 Active,1.2 S,Manual,37975,2nd Owner,Petrol,DL-8C,541000.0,2020-08-17,2015-01-01
325,Maruti BALENO,DELTA PETROL 1.2,Manual,89081,1st Owner,CNG,HR-12,559000.0,2022-04-03,2017-01-01
326,Maruti Ciaz,ZXI,Manual,79832,1st Owner,Petrol,HR-26,565000.0,2020-11-21,2014-01-01
327,Maruti Vitara Brezza,ZDI PLUS AMT,Automatic,89151,1st Owner,Diesel,UP-16,837000.0,2023-05-18,2018-01-01
328,Maruti Swift,VXI,Manual,52784,1st Owner,Petrol,DL-2C,308000.0,2018-06-11,2012-01-01
329,Maruti Baleno,ZETA PETROL 1.2,Manual,14813,1st Owner,Petrol,UP-16,715000.0,2022-09-12,2020-01-01
330,Maruti Swift,LXI,Manual,66583,1st Owner,Petrol,DL-8C,542000.0,2022-07-29,2020-01-01
331,HYUNDAI XCENT,S 1.2,Manual,50990,2nd Owner,Petrol,HR-26,427000.0,2025-03-18,2015-01-01
332,Maruti Baleno,DELTA PETROL 1.2,Manual,15569,1st Owner,Petrol,DL-2C,597000.0,2021-09-26,2018-01-01
333,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,77808,1st Owner,Petrol,UP-14,346000.0,2021-08-08,2014-01-01
334,Maruti Celerio,VXI CNG,Manual,81143,1st Owner,CNG,DL-9C,462000.0,2018-11-01,2018-01-01
335,Hyundai Elite i20,1.2 SPORTS PLUS VTVT,Manual,30152,2nd Owner,Petrol,HR-26,662000.0,2022-08-09,2019-01-01
336,Maruti BALENO,ZETA PETROL 1.2,Manual,0,1st Owner,Petrol,DL-8C,760000.0,2021-12-22,2019-01-01
337,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,15736,1st Owner,Petrol,DL-10,478000.0,2018-10-16,2018-01-01
338,Maruti Baleno,DELTA PETROL 1.2,Manual,74161,2nd Owner,CNG,HR-34,596000.0,2020-08-20,2019-01-01
339,Honda Jazz,1.2 S AT,Automatic,68766,1st Owner,Petrol,DL-4C,515000.0,2023-09-29,2016-01-01
340,Maruti Ciaz,DELTA 1.4 VVT,Manual,66931,1st Owner,Petrol,DL-7C,660000.0,2020-12-18,2017-01-01
341,Hyundai NEW SANTRO,SPORTZ 1.1,Manual,29826,2nd Owner,Petrol,HR-26,437000.0,2022-02-10,2019-01-01
342,Toyota COROLLA ALTIS,1.8 G,Manual,66466,2nd Owner,Petrol,DL-12,408000.0,2020-04-16,2011-01-01
343,HYUNDAI ELITE I20,ASTA 1.2 (O),Manual,72417,2nd Owner,Petrol,DL-12,541000.0,2024-09-15,2015-01-01
344,Maruti Swift,ZXI,Manual,42705,1st Owner,Petrol,DL-3C,628000.0,2018-04-22,2018-01-01
345,Maruti SWIFT,LXI,Manual,70182,1st Owner,Petrol,DL-12,545000.0,2022-05-08,2019-01-01
346,Tata TIGOR,XZ PETROL,Manual,39895,1st Owner,Petrol,DL-7C,646000.0,2018-04-10,2021-01-01
347,Maruti New Wagon-R,LXI CNG (O) 1.0,Manual,12121,1st Owner,CNG,HR-26,582000.0,2024-04-14,2021-01-01
348,Maruti Vitara Brezza,ZDI PLUS DUAL TONE,Manual,68208,1st Owner,Diesel,HR-26,879000.0,2019-06-09,2019-01-01
349,Maruti IGNIS,DELTA 1.2 K12,Manual,92670,1st Owner,Petrol,DL-2C,426000.0,2024-07-01,2018-01-01
350,Maruti New Wagon-R,VXI 1.0,Manual,3741,1st Owner,Petrol,HR-51,612000.0,2019-06-01,2022-01-01
351,Renault Kwid,RXL,Manual,19729,1st Owner,Petrol,DL-8C,373000.0,2021-12-28,2019-01-01
352,Mahindra XUV500,W11,Manual,32204,1st Owner,Diesel,DL-1C,1375000.0,2021-07-12,2019-01-01
353,Hyundai Elite i20,MAGNA 1.2,Manual,38043,1st Owner,Petrol,DL-7C,523000.0,2024-04-06,2016-01-01
354,Maruti Swift,VXI,Manual,78540,1st Owner,Petrol,DL-9C,453000.0,2022-09-17,2015-01-01
355,Maruti S CROSS,ZETA 1.3,Manual,37911,1st Owner,Diesel,DL-8C,662000.0,2024-08-06,2017-01-01
356,Maruti CELERIO X,ZXI,Manual,48335,1st Owner,Petrol,DL-9C,429000.0,2022-11-13,2018-01-01
357,Maruti SWIFT,LXI (O),Manual,43904,2nd Owner,Petrol,DL-12,446000.0,2023-10-14,2017-01-01
358,Maruti Celerio,VXI CNG,Manual,81406,1st Owner,CNG,DL-9C,473000.0,2021-09-17,2018-01-01
359,Hyundai Creta,1.4 E PLUS CRDI,Manual,98513,1st Owner,Diesel,HR-36,782000.0,2021-03-03,2017-01-01
360,Honda Amaze,1.5 SMT I DTEC,Manual,82187,1st Owner,Diesel,DL-10,564000.0,2020-06-15,2018-01-01
361,Mahindra XUV500,W11 (O),Manual,23017,1st Owner,Diesel,DL-12,1503000.0,2021-06-15,2019-01-01
362,HYUNDAI ELITE I20,ASTA 1.2,Manual,24418,1st Owner,Petrol,DL-8C,654000.0,2018-03-27,2017-01-01
363,Maruti Baleno,DELTA PETROL 1.2,Manual,28131,2nd Owner,Petrol,DL-1C,538000.0,2024-10-11,2016-01-01
365,Honda Amaze,1.2L I-VTEC E,Manual,13328,1st Owner,Petrol,HR-26,672000.0,2018-01-24,2020-01-01
366,Hyundai Verna,1.6 CRDI SX,Manual,37640,1st Owner,Diesel,HR-51,1052000.0,2018-10-19,2019-01-01
367,HYUNDAI CRETA,E PLUS 1.4 DIESEL,Manual,93155,2nd Owner,Diesel,UP-16,852000.0,2018-09-20,2018-01-01
368,Maruti Swift Dzire,ZXI,Manual,70706,1st Owner,Petrol,DL-2C,442000.0,2023-05-11,2014-01-01
369,Maruti Baleno,ZETA PETROL 1.2,Manual,29157,1st Owner,Petrol,DL-9C,568000.0,2018-08-26,2017-01-01
370,Toyota Innova Crysta,2.4 VX 7 STR,Manual,72147,1st Owner,Diesel,HR-36,1444000.0,2025-05-09,2016-01-01
371,HONDA WR-V,1.5 i-DTEC S MT,Manual,61469,1st Owner,Diesel,HR-26,612000.0,2018-06-16,2017-01-01
372,Renault Kiger, RXT (O) AMT 1.0 DUAL TONE,Automatic,6642,1st Owner,Petrol,UP-14,842000.0,2024-03-25,2022-01-01
373,Skoda Rapid,1.0 AMBITION TSI AT,Automatic,10713,1st Owner,Petrol,DL-10,1051000.0,2018-01-21,2020-01-01
374,Maruti Baleno,DELTA PETROL 1.2,Manual,61195,2nd Owner,Petrol,UP-14,579000.0,2023-08-10,2019-01-01
375,Maruti Swift,LXI,Manual,2297,2nd Owner,Petrol,DL-14,582000.0,2020-02-16,2020-01-01
376,Maruti Vitara Brezza,ZDI,Manual,40587,2nd Owner,Diesel,DL-3C,719000.0,2019-10-23,2018-01-01
377,KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,84335,1st Owner,Diesel,DL-12,1248000.0,2024-07-22,2020-01-01
378,Ford Ecosport,1.5TITANIUM TDCI,Manual,45730,1st Owner,Diesel,DL-12,758000.0,2019-02-24,2018-01-01
379,Honda Amaze,1.2 V CVT I VTEC,Automatic,21826,1st Owner,Petrol,DL-4C,833000.0,2024-02-01,2021-01-01
380,HYUNDAI TUCSON NEW,GLS 4WD AT DIESEL,Automatic,25149,1st Owner,Diesel,UP-16,1846000.0,2020-10-04,2018-01-01
381,HONDA CITY,VX CVT PETROL,Automatic,75891,1st Owner,Petrol,UP-32,898000.0,2025-01-19,2018-01-01
382,Honda Amaze,1.2L I-VTEC S,Manual,47657,1st Owner,Petrol,DL-3C,635000.0,2018-01-31,2020-01-01
383,HYUNDAI CRETA,SX AT 1.6 DIESEL,Automatic,80459,1st Owner,Diesel,UP-14,1274000.0,2024-11-21,2019-01-01
384,Honda City,V MT PETROL,Manual,19216,1st Owner,Petrol,UP-16,960000.0,2024-02-27,2021-01-01
385,Hyundai Creta,1.6 SX VTVT (O) EXECUTIVE,Manual,81872,1st Owner,Petrol,DL-12,1160000.0,2021-09-21,2019-01-01
386,Hyundai Elite i20,1.2 SPORTS PLUS VTVT,Manual,38241,1st Owner,Petrol,DL-1C,770000.0,2018-10-10,2020-01-01
387,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,75171,1st Owner,Petrol,DL-2C,423000.0,2019-03-29,2015-01-01
388,Hyundai NEW SANTRO,MAGNA CNG,Manual,19016,2nd Owner,CNG,DL-1C,505000.0,2020-11-23,2020-01-01
389,Honda City,V MT PETROL,Manual,49089,1st Owner,Petrol,DL-10,829000.0,2018-07-13,2018-01-01
390,Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,30210,1st Owner,Petrol,DL-8C,576000.0,2019-11-09,2017-01-01
391,HONDA CITY,SV MT PETROL,Manual,60378,1st Owner,Petrol,UP-32,521000.0,2024-02-28,2014-01-01
392,Maruti VITARA BREZZA,ZDI + AMT,Automatic,41271,1st Owner,Diesel,DL-2C,848000.0,2019-08-31,2018-01-01
393,Hyundai VENUE,S 1.0 TURBO IMT,Manual,23036,1st Owner,Petrol,DL-10,1033000.0,2020-10-26,2021-01-01
394,HYUNDAI NEW SANTRO,SPORTZ 1.1,Manual,10632,1st Owner,Petrol,DL-12,481000.0,2018-05-26,2019-01-01
395,Ford Ecosport,1.5 TREND TI VCT,Manual,20728,2nd Owner,CNG,HR-29,755000.0,2025-05-04,2019-01-01
396,TOYOTA YARIS,J MT,Manual,8465,1st Owner,Petrol,DL-10,988000.0,2018-03-23,2021-01-01
397,Maruti Baleno,DELTA PETROL 1.2,Manual,44141,1st Owner,Petrol,DL-8C,668000.0,2021-06-03,2021-01-01
398,HYUNDAI GRAND I10,MAGNA 1.2 KAPPA VTVT,Manual,35810,2nd Owner,CNG,HR-26,457000.0,2025-02-07,2017-01-01
399,Hyundai Elite i20,ASTA 1.2,Manual,32296,1st Owner,Petrol,DL-2C,596000.0,2018-09-16,2016-01-01
400,Hyundai NEW I20,MAGNA 1.5 MT,Manual,11726,1st Owner,Diesel,HR-98,829000.0,2022-11-28,2021-01-01
401,Maruti Wagon R 1.0,LXI,Manual,23760,1st Owner,Petrol,DL-2C,324000.0,2022-10-14,2014-01-01
402,Maruti CIAZ,DELTA 1.4 MT PETROL,Manual,83946,2nd Owner,Petrol,HR-26,626000.0,2018-12-12,2017-01-01
403,KIA SELTOS,HTK PLUS AT 1.5 DIESEL,Automatic,49488,1st Owner,Diesel,HR-26,1377000.0,2018-02-23,2020-01-01
404,Maruti CIAZ,ALPHA 1.5 SHVS PETROL,Manual,55980,2nd Owner,Petrol,DL-12,875000.0,2022-04-07,2018-01-01
405,HONDA CITY,SV MT PETROL,Manual,47670,2nd Owner,Petrol,DL-4C,615000.0,2019-07-08,2015-01-01
406,Maruti Swift,LXI,Manual,55080,1st Owner,Petrol,DL-2C,432000.0,2025-05-05,2015-01-01
407,Maruti Dzire,VXI AMT,Automatic,70510,2nd Owner,Petrol,HR-51,692000.0,2024-03-30,2020-01-01
408,Hyundai VENUE,SX PLUS 1.0 TURBO DCT,Automatic,18194,1st Owner,Petrol,DL-5C,1124000.0,2020-08-26,2020-01-01
409,Maruti Baleno,DELTA PETROL 1.2,Manual,24674,2nd Owner,Petrol,DL-6C,601000.0,2019-03-26,2018-01-01
410,Maruti CIAZ,SIGMA 1.4 VVT,Manual,69680,1st Owner,Petrol,HR-26,611000.0,2024-03-09,2017-01-01
411,Maruti Swift,VXI,Manual,55483,1st Owner,Petrol,DL-1C,548000.0,2022-08-07,2018-01-01
412,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,85759,2nd Owner,CNG,HR-51,472000.0,2024-04-27,2018-01-01
413,Maruti Vitara Brezza,ZDI PLUS DUAL TONE,Manual,48535,1st Owner,Diesel,DL-12,763000.0,2023-04-14,2018-01-01
414,KIA SELTOS,GTX + AT PETROL,Automatic,28506,1st Owner,Petrol,HR-26,1633000.0,2018-05-04,2020-01-01
415,Honda Amaze,1.2 SX MT I VTEC,Manual,55379,1st Owner,Petrol,DL-3C,423000.0,2021-11-08,2014-01-01
416,Maruti Baleno,ALPHA PETROL 1.2,Manual,22244,1st Owner,Petrol,DL-6C,778000.0,2020-01-11,2020-01-01
417,Honda Amaze,VX AT I DTEC,Automatic,69222,2nd Owner,Diesel,HR-26,740000.0,2018-11-19,2019-01-01
418,HONDA BRIO,1.2 S MT I VTEC,Manual,43956,1st Owner,Petrol,DL-2C,313000.0,2025-05-05,2013-01-01
419,Honda City,1.5L I-VTEC VX CVT,Automatic,34851,1st Owner,Petrol,UP-78,703600.0,2018-10-05,2015-01-01
420,Maruti Baleno,ZETA PETROL 1.2,Manual,8924,1st Owner,Petrol,UP-14,671000.0,2019-05-08,2019-01-01
421,Maruti New Wagon-R,LXI CNG 1.0 L,Manual,23040,1st Owner,CNG,DL-11,568000.0,2019-01-18,2020-01-01
422,HYUNDAI AURA,S 1.2 CNG,Manual,41871,1st Owner,CNG,DL-12,741000.0,2025-05-16,2020-01-01
423,Toyota YARIS,J CVT,Automatic,15778,1st Owner,Petrol,HR-98,1046000.0,2019-02-02,2021-01-01
424,NISSAN MAGNITE,XL Turbo CVT,Automatic,21967,1st Owner,Petrol,DL-8C,886000.0,2020-09-13,2021-01-01
425,Maruti Vitara Brezza,ZDI PLUS,Manual,7749,1st Owner,Diesel,DL-9C,893000.0,2021-08-01,2018-01-01
426,TOYOTA COROLLA ALTIS,GL,Manual,45060,2nd Owner,Petrol,DL-10,1153000.0,2023-11-16,2017-01-01
427,Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,37646,1st Owner,Petrol,DL-4C,510000.0,2020-12-13,2017-01-01
428,HONDA JAZZ,1.2L I-VTEC VX,Manual,80224,1st Owner,Petrol,DL-3C,470000.0,2023-07-04,2015-01-01
429,Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,56054,1st Owner,Petrol,DL-10,579000.0,2022-08-24,2018-01-01
430,Maruti Swift,ZXI AMT,Automatic,37338,1st Owner,Petrol,DL-8C,671000.0,2018-09-21,2018-01-01
431,Tata NEXON,XZ+ 1.5,Manual,10422,1st Owner,Diesel,HR-26,1189000.0,2023-04-13,2021-01-01
432,Maruti New Wagon-R,LXI CNG 1.0 L,Manual,14396,1st Owner,CNG,DL-8C,589000.0,2020-07-17,2021-01-01
433,Maruti Vitara Brezza,VDI,Manual,49317,1st Owner,Diesel,DL-6C,727000.0,2023-10-28,2018-01-01
434,Hyundai Grand i10,ASTA 1.2 (O) VTVT,Manual,25073,1st Owner,Petrol,DL-3C,468000.0,2022-07-26,2016-01-01
435,KIA SELTOS,GTX + AT PETROL,Automatic,18651,1st Owner,Petrol,DL-14,1646000.0,2018-05-30,2020-01-01
436,HYUNDAI CRETA,1.6 SX (O) CRDI,Manual,60805,2nd Owner,Diesel,UP-16,928000.0,2019-02-14,2018-01-01
437,Maruti Vitara Brezza,VDI OPT,Manual,34238,1st Owner,Diesel,DL-1C,750000.0,2020-05-26,2018-01-01
438,Maruti CIAZ,Alpha 1.5 Diesel,Manual,60812,2nd Owner,Diesel,DL-3C,985000.0,2020-04-16,2019-01-01
439,Maruti Alto,LXI CNG,Manual,41807,1st Owner,CNG,DL-3C,383000.0,2023-08-24,2019-01-01
440,Maruti Baleno,DELTA PETROL 1.2,Manual,19875,1st Owner,Petrol,DL-8C,716000.0,2019-04-07,2021-01-01
441,Hyundai Creta,1.6 CRDI SX PLUS AUTO,Automatic,60316,1st Owner,Diesel,DL-8C,1192000.0,2022-08-15,2018-01-01
442,Mahindra Thar,LX PETROL HT 4WD AT,Automatic,12949,1st Owner,Petrol,UP-16,1503000.0,2019-01-27,2021-01-01
443,Maruti Baleno,DELTA PETROL 1.2,Manual,55725,1st Owner,Petrol,DL-9C,506000.0,2022-09-06,2017-01-01
444,Ford Ecosport,1.5TITANIUM TDCI,Manual,51665,1st Owner,Diesel,HR-34,658000.0,2018-01-12,2017-01-01
445,HONDA AMAZE,1.2 SX MT I VTEC,Manual,29081,1st Owner,Petrol,DL-2C,521000.0,2025-04-10,2016-01-01
446,Hyundai Creta,1.6 S,Manual,78700,1st Owner,Petrol,DL-8C,800000.0,2023-12-03,2016-01-01
447,Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,32334,1st Owner,Petrol,UP-14,573000.0,2022-10-12,2016-01-01
448,HYUNDAI I20,MAGNA (O) 1.2,Manual,72982,1st Owner,Petrol,HR-29,283000.0,2025-02-02,2011-01-01
449,Tata Tiago,XZA 1.2 REVOTRON,Automatic,27451,2nd Owner,Petrol,HR-26,535000.0,2018-11-30,2018-01-01
450,Honda City,V MT PETROL,Manual,32812,1st Owner,Petrol,HR-26,832000.0,2022-01-02,2018-01-01
451,Hyundai Creta,1.6 SX VTVT,Manual,21153,1st Owner,Petrol,UP-16,1149000.0,2022-08-07,2019-01-01
