,car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,Date,year
79,KIA SONET,GTX + 1.0 IMT,Manual,7036,1st Owner,Petrol,HR-26,1216000.0,2025-02-10,2021-01-01
80,Hyundai i20 Active,1.2 S,Manual,89972,1st Owner,Petrol,UP-53,607000.0,2019-12-25,2018-01-01
81,Maruti Wagon R 1.0,VXI,Manual,56510,1st Owner,Petrol,HR-26,332000.0,2021-10-06,2015-01-01
82,Maruti Baleno,SIGMA PETROL 1.2,Manual,18446,2nd Owner,Petrol,DL-5C,570000.0,2019-10-19,2020-01-01
83,HYUNDAI ELITE I20,MAGNA EXECUTIVE 1.2,Manual,55117,2nd Owner,Petrol,DL-8C,552000.0,2019-01-12,2018-01-01
84,Hyundai Creta,E PLUS 1.6 PETROL,Manual,70443,1st Owner,Petrol,DL-8C,820000.0,2024-07-23,2017-01-01
85,Hyundai Xcent,SX 1.2,Manual,42846,1st Owner,CNG,DL-9C,579250.0,2019-04-12,2019-01-01
86,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,46658,1st Owner,Petrol,DL-2C,396000.0,2022-12-11,2015-01-01
87,TATA ALTROZ,XZ 1.2,Manual,32195,1st Owner,Petrol,HR-19,692000.0,2025-03-30,2020-01-01
88,Tata Tiago,XZ+ CNG 1.2 RTN,Manual,13579,1st Owner,CNG,DL-9C,753000.0,2021-03-16,2022-01-01
89,Renault Kiger,RXL EASY R 1.0 L,Automatic,41505,1st Owner,Petrol,HR-19,686000.0,2023-12-13,2021-01-01
90,Toyota Corolla Altis,G AT,Automatic,88365,1st Owner,Petrol,DL-2C,937000.0,2022-08-03,2016-01-01
91,Tata Harrier,XT+ Dark Edition,Manual,15347,1st Owner,Diesel,HR-98,1770000.0,2022-10-04,2021-01-01
92,Honda City,1.5 E MT PETROL,Manual,19282,1st Owner,Petrol,DL-14,615000.0,2024-10-12,2016-01-01
93,Hyundai Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Manual,50446,1st Owner,Petrol,HR-10,506000.0,2023-07-22,2017-01-01
94,KIA SELTOS,GTX + AT PETROL,Automatic,9417,1st Owner,Petrol,DL-8C,1663000.0,2020-12-03,2020-01-01
95,Hyundai AURA,SX 1.2,Manual,31093,1st Owner,Petrol,DL-9C,706000.0,2025-03-31,2020-01-01
96,Jeep Compass,2.0 LONGITUDE (O),Manual,32038,1st Owner,Diesel,DL-10,1142000.0,2018-02-07,2017-01-01
97,HONDA BRIO,1.2 S MT I VTEC,Manual,50574,1st Owner,Petrol,DL-8C,293000.0,2023-09-25,2013-01-01
98,HYUNDAI VERNA,SX (O) 1.5 CRDI,Manual,36033,1st Owner,Diesel,HR-10,1596000.0,2021-09-29,2021-01-01
99,Nissan Micra Active,XL(O),Manual,18993,2nd Owner,Petrol,HR-26,484000.0,2022-06-25,2018-01-01
100,Tata Tiago,XZA 1.2 REVOTRON,Automatic,52164,1st Owner,Petrol,DL-3C,520000.0,2023-03-18,2019-01-01
101,Maruti Wagon R 1.0,LXI,Manual,32075,1st Owner,Petrol,DL-9C,190000.0,2020-08-30,2010-01-01
102,Maruti Baleno,DELTA PETROL 1.2,Manual,69292,1st Owner,Petrol,DL-8C,502000.0,2025-05-14,2016-01-01
103,MG HECTOR,SHARP DCT PETROL,Automatic,52597,1st Owner,Petrol,UP-41,1612000.0,2022-05-05,2020-01-01
104,Maruti Swift,LXI,Manual,51267,1st Owner,CNG,HR-51,570000.0,2020-08-04,2019-01-01
105,Hyundai i10,MAGNA 1.1 IRDE2,Manual,48832,1st Owner,Petrol,DL-10,343000.0,2025-05-12,2015-01-01
106,HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,36938,1st Owner,Petrol,DL-8C,362000.0,2022-07-04,2014-01-01
107,Honda Brio,VX AT,Automatic,23106,1st Owner,Petrol,DL-3C,531000.0,2021-12-01,2017-01-01
108,Maruti Swift,ZXI+,Manual,6901,1st Owner,Petrol,DL-8C,819000.0,2020-01-21,2021-01-01
109,Maruti Baleno,SIGMA PETROL 1.2,Manual,21864,2nd Owner,Petrol,DL-5C,561000.0,2020-03-16,2020-01-01
110,Honda City,V MT PETROL,Manual,29942,1st Owner,Petrol,DL-3C,864000.0,2023-05-20,2018-01-01
111,HONDA AMAZE,1.2 V CVT I VTEC,Automatic,12503,1st Owner,Petrol,DL-14,719000.0,2021-09-18,2018-01-01
112,Maruti Dzire,VXI AMT,Automatic,42526,1st Owner,Petrol,DL-12,570000.0,2022-02-28,2017-01-01
113,Maruti BALENO,DELTA PETROL 1.2,Manual,62610,1st Owner,Petrol,DL-2C,586000.0,2020-01-22,2019-01-01
114,KIA SONET,HTX 1.0 IMT,Manual,11425,1st Owner,Petrol,UP-16,1139000.0,2020-06-16,2021-01-01
